date,strategy,n_holdings,expected_return,realized_return
2025-03-10,equal_weight,29,,-0.0007837390323870988
2025-03-17,conservative,10,0.0020577788818627596,0.017819932270857847
2025-03-17,aggressive,1,0.005178683437407017,0.0731911402020863
2025-03-17,tilt,28,0.0014997773549526364,0.013840866138366572
2025-03-17,equal_weight,29,,0.012683271222041676
2025-03-24,conservative,10,0.00200482620857656,-0.015569042746760457
2025-03-24,aggressive,1,0.005193098448216915,-0.0115434907477571
2025-03-24,tilt,28,0.0015248221799240365,-0.021816497115821416
2025-03-24,equal_weight,29,,-0.019894582076590252
2025-03-31,conservative,10,0.0024600697215646505,-0.061196628395770385
2025-03-31,aggressive,3,0.005251646041870117,-0.13702465465661884
2025-03-31,tilt,28,0.0019434975572523762,-0.06805776587404096
2025-03-31,equal_weight,29,,-0.06724764156818112
2025-04-07,conservative,10,0.0022515058517456055,0.039935577684724326
2025-04-07,aggressive,1,0.005486012902110815,0.0263131364445572
2025-04-07,tilt,28,0.0019384407624741503,0.035441463106788876
2025-04-07,equal_weight,29,,0.034053053230779035
2025-04-14,conservative,10,0.0028292047791182995,-0.009369977826041194
2025-04-14,aggressive,5,0.006287946365773678,-0.03393255603030465
2025-04-14,tilt,28,0.002564545594450308,-0.00153040849134895
2025-04-14,equal_weight,29,,-0.000599821816235116
2025-04-21,conservative,10,0.003045374061912298,0.031158222618080277
2025-04-21,aggressive,4,0.006726684048771858,0.06299273990825449
2025-04-21,tilt,28,0.0021722748278855957,0.025687154280803544
2025-04-21,equal_weight,29,,0.02463265544200172
2025-04-28,conservative,10,0.0029478243086487055,0.00042500278086827614
2025-04-28,aggressive,5,0.006850568577647209,-0.006421587206380893
2025-04-28,tilt,28,0.0025319432944737093,-0.005618035119359117
2025-04-28,equal_weight,29,,-0.004642238849659934
2025-05-07,conservative,10,0.0029360875487327576,0.03043740296386057
2025-05-07,aggressive,4,0.007047412917017937,0.0418084143173958
2025-05-07,tilt,28,0.0025777001286739964,0.02385847478131702
2025-05-07,equal_weight,29,,0.02328571456192421
2025-05-12,conservative,10,0.0029075113125145435,0.0073093035700909515
2025-05-12,aggressive,7,0.006137704476714134,0.0012745937187969296
2025-05-12,tilt,28,0.0027904170113122705,-0.0010296513276325076
2025-05-12,equal_weight,29,,-0.000565256511251807
2025-05-19,conservative,10,0.00375028932467103,-0.0027190456918424625
2025-05-19,aggressive,8,0.007770836353302002,-0.013229208777066704
2025-05-19,tilt,28,0.003642393504608236,-0.008971110532545434
2025-05-19,equal_weight,29,,-0.008819611343253318
2025-05-26,conservative,10,0.0038115668576210737,0.005616659846086525
2025-05-26,aggressive,8,0.008040199987590313,0.017915085702944308
2025-05-26,tilt,28,0.003898872041358581,0.009657529280343188
2025-05-26,equal_weight,29,,0.009313354194051344
2025-06-02,conservative,10,0.004775492008775473,0.020533073093243794
2025-06-02,aggressive,8,0.009431784972548485,0.05333434473660376
2025-06-02,tilt,28,0.004414342421038641,0.030188655556129283
2025-06-02,equal_weight,29,,0.029722625782458753
2025-06-09,conservative,10,0.005006803199648857,0.005714225049157123
2025-06-09,aggressive,8,0.009688876569271088,0.033177084513871385
2025-06-09,tilt,28,0.0046867078230631125,0.01392891653961748
2025-06-09,equal_weight,29,,0.012770331599565875
2025-06-16,conservative,10,0.005223369691520929,0.0006429530590503523
2025-06-16,aggressive,8,0.009988661855459213,0.017137511210770274
2025-06-16,tilt,28,0.004824460665653814,0.007428825809015286
2025-06-16,equal_weight,29,,0.007116892537628697
2025-06-23,conservative,10,0.005194670520722866,0.0075840136606991106
2025-06-23,aggressive,8,0.009368153288960457,0.00048071326366671066
2025-06-23,tilt,28,0.0047242714076880295,0.00464048539146837
2025-06-23,equal_weight,29,,0.005733647242691697
2025-06-30,conservative,10,0.005301801022142172,0.01030057272853349
2025-06-30,aggressive,8,0.009442645125091076,0.015268272514792833
2025-06-30,tilt,28,0.00523548637393855,0.010940059454310794
2025-06-30,equal_weight,29,,0.010649581706651446
2025-07-07,conservative,10,0.003943527117371559,0.017232498772568758
2025-07-07,aggressive,8,0.007727611809968948,0.027401774183917482
2025-07-07,tilt,28,0.004472270234926142,0.018713861866125166
2025-07-07,equal_weight,29,,0.01746220998334195
2025-07-14,conservative,10,0.003455566009506583,-0.00447653004282428
2025-07-14,aggressive,8,0.006733966525644064,-0.0053099281617386435
2025-07-14,tilt,28,0.003599077265714382,0.0041918972555053495
2025-07-14,equal_weight,29,,0.0052750829540407955
2025-07-21,conservative,10,0.0033720131032168865,-0.005499158811267445
2025-07-21,aggressive,7,0.006531236693263054,-0.013044997933198634
2025-07-21,tilt,28,0.0034023920658049892,-0.0019324511979804209
2025-07-21,equal_weight,29,,-0.0013565107754113998
2025-07-28,conservative,10,0.00339326704852283,-0.008274936985987266
2025-07-28,aggressive,8,0.00679395068436861,-0.007055241537685112
2025-07-28,tilt,28,0.00364510278250435,-0.010256661458803372
2025-07-28,equal_weight,29,,-0.010599489029660647
2025-08-04,conservative,10,0.003133209189400077,0.006062408629461341
2025-08-04,aggressive,8,0.006293997634202242,0.003249160679312673
2025-08-04,tilt,28,0.0036048273822405913,0.013778645173475264
2025-08-04,equal_weight,29,,0.014599277588386117
2025-08-11,conservative,10,0.0031534158624708652,0.002127317791199522
2025-08-11,aggressive,7,0.006139341741800308,0.002326594062341029
2025-08-11,tilt,28,0.0034035182414808548,-0.0006416751875898219
2025-08-11,equal_weight,29,,-0.0002856377779454444
2025-08-18,conservative,10,0.0030244835652410984,0.0056345408056002015
2025-08-18,aggressive,8,0.0060054524801671505,8.434942122007233e-06
2025-08-18,tilt,28,0.0033741068277024617,0.0047106070655288795
2025-08-18,equal_weight,29,,0.005337570132108441
2025-08-25,conservative,10,0.0028550471179187298,-0.0018928693192432446
2025-08-25,aggressive,7,0.0060393293388187885,-0.01259976949582369
2025-08-25,tilt,28,0.003258648743202527,-0.0009113827162244646
2025-08-25,equal_weight,29,,-0.0009111550751331929
2025-09-01,conservative,10,0.0027929481584578753,0.00265120999947116
2025-09-01,aggressive,8,0.005718663800507784,0.014008440883041344
2025-09-01,tilt,28,0.0032432642519695945,0.009101918486313164
2025-09-01,equal_weight,29,,0.00841012978086798
2025-09-08,conservative,10,0.002834536135196686,0.011981319261990685
2025-09-08,aggressive,6,0.005482354201376438,0.026309751387097926
2025-09-08,tilt,28,0.0030013112996104584,0.020654702243293445
2025-09-08,equal_weight,29,,0.0198826130239762
2025-09-15,conservative,10,0.0028412470128387213,0.009229568375175853
2025-09-15,aggressive,8,0.00575379841029644,0.026147300691059368
2025-09-15,tilt,28,0.0033436489319311896,0.010934680374508282
2025-09-15,equal_weight,29,,0.009678444187969088
2025-09-22,conservative,10,0.0025958456099033356,0.005424910243265115
2025-09-22,aggressive,7,0.006295079831033945,0.009189121731455925
2025-09-22,tilt,28,0.003341649817361403,0.005217611785204727
2025-09-22,equal_weight,29,,0.005460784833093996
2025-09-29,conservative,10,0.0022282982245087624,0.01879607746539633
2025-09-29,aggressive,8,0.006038037594407797,0.024231661735817086
2025-09-29,tilt,28,0.0032395945611128703,0.019377848838591918
2025-09-29,equal_weight,29,,0.017662408356028086
2025-10-10,conservative,10,0.002701498568058014,0.010416056288217573
2025-10-10,aggressive,5,0.006172994151711464,0.013077202134595322
2025-10-10,tilt,28,0.003145845475726089,0.01449564106357319
2025-10-10,equal_weight,29,,0.014676909250036162
2025-10-13,conservative,10,0.0030011010821908712,0.011825321425457157
2025-10-13,aggressive,4,0.006860807538032532,0.04364173981947265
2025-10-13,tilt,28,0.003094468978710207,0.01867041052975074
2025-10-13,equal_weight,29,,0.01866626348453231
2025-10-20,conservative,10,0.0024976760614663363,0.0037401108062206107
2025-10-20,aggressive,3,0.00566841010004282,0.03518045672950685
2025-10-20,tilt,28,0.0025731428194114016,0.019305684914986448
2025-10-20,equal_weight,29,,0.018987176610865526
2025-10-27,conservative,10,0.002602456836029887,-0.0006063920025262795
2025-10-27,aggressive,3,0.005474544130265713,-0.009278758743850183
2025-10-27,tilt,28,0.002585238068798729,0.002180635008754716
2025-10-27,equal_weight,29,,0.0018247587899812385
2025-11-03,conservative,10,0.003039216622710228,0.0010415133528410307
2025-11-03,aggressive,4,0.0068282573483884335,-0.0017444627623339742
2025-11-03,tilt,28,0.00282941508311566,0.0016045421351497313
2025-11-03,equal_weight,29,,0.0021313885363831646
2025-11-10,conservative,10,0.0025547174736857414,0.0027107107109560612
2025-11-10,aggressive,4,0.005518828518688679,-0.007710173264668575
2025-11-10,tilt,28,0.002718862498647272,0.0002687587388456304
2025-11-10,equal_weight,29,,3.695251797404482e-05
2025-11-17,conservative,10,0.0024647582322359085,-0.00482242396679412
2025-11-17,aggressive,2,0.005555860232561827,-0.01741569386291705
2025-11-17,tilt,28,0.0025383002005224453,-0.017397257769013765
2025-11-17,equal_weight,29,,-0.01641818531191649
2025-11-24,conservative,10,0.0025936707388609648,0.01225923849894654
2025-11-24,aggressive,3,0.006050999276340008,0.04010876683045666
2025-11-24,tilt,28,0.002157486842228532,0.023094296698336975
2025-11-24,equal_weight,29,,0.02253347382642469
2025-12-01,conservative,10,0.0023428695276379585,0.005068472612045282
2025-12-01,aggressive,2,0.005355170462280512,0.0203072689434679
2025-12-01,tilt,28,0.0022220934719818955,0.011204045957908658
2025-12-01,equal_weight,29,,0.010960516961530015
2025-12-08,conservative,10,0.002587080467492342,-0.0009799205008474859
2025-12-08,aggressive,1,0.005537431687116623,-0.0017713541316374
2025-12-08,tilt,28,0.002589726828927074,-0.003071954676778984
2025-12-08,equal_weight,29,,-0.0026326716167206447
2025-12-15,conservative,10,0.0026323702186346054,0.0035685190919039845
2025-12-15,aggressive,2,0.005242845043540001,0.00622196087746705
2025-12-15,tilt,28,0.0026408065015814416,0.0034573953349373815
2025-12-15,equal_weight,29,,0.003776915714803941
2025-12-22,conservative,10,0.0025772498920559883,-0.003952240223851631
2025-12-22,aggressive,2,0.0052608828991651535,-0.0135376378344249
2025-12-22,tilt,28,0.0024578301680397777,-0.005798050507482756
2025-12-22,equal_weight,29,,-0.0053675383076869955
