date,strategy,n_holdings,expected_return,realized_return
2025-03-31,equal_weight,29,,-0.06724764156818112
2025-04-07,conservative,10,0.005653242580592632,0.020048274502739383
2025-04-07,aggressive,5,0.010644890367984772,0.054288294620423116
2025-04-07,equal_weight,29,,0.034053053230779035
2025-04-14,conservative,10,0.005815992131829262,0.0030487962664013115
2025-04-14,aggressive,7,0.010513747110962868,-0.0010119439027468195
2025-04-14,equal_weight,29,,-0.000599821816235116
2025-04-21,conservative,10,0.005671861115843058,0.010666175404854709
2025-04-21,aggressive,6,0.010167919099330902,0.015295550768539173
2025-04-21,equal_weight,29,,0.02463265544200172
2025-04-28,conservative,10,0.005802813917398453,-0.0064245239667643835
2025-04-28,aggressive,6,0.010098285973072052,-0.008173944241729549
2025-04-28,equal_weight,29,,-0.004642238849659934
2025-05-07,conservative,10,0.005721402820199728,0.01329003689958941
2025-05-07,aggressive,6,0.010388382710516453,0.024518566297734665
2025-05-07,equal_weight,29,,0.02328571456192421
2025-05-12,conservative,10,0.005236598197370768,-0.012001192318372341
2025-05-12,aggressive,4,0.011248174123466015,-0.024895936793446174
2025-05-12,equal_weight,29,,-0.000565256511251807
2025-05-19,conservative,10,0.0050758179277181625,-0.007388876656966559
2025-05-19,aggressive,3,0.01268361508846283,-0.012334657448240418
2025-05-19,equal_weight,29,,-0.008819611343253318
2025-05-26,conservative,10,0.005118723027408123,0.012104837425534254
2025-05-26,aggressive,3,0.012552864849567413,0.031220703085290208
2025-05-26,equal_weight,29,,0.009313354194051344
2025-06-02,conservative,10,0.004660091362893581,0.01935659966241569
2025-06-02,aggressive,3,0.012183403596282005,0.05086706329268212
2025-06-02,equal_weight,29,,0.029722625782458753
2025-06-09,conservative,10,0.004600986838340759,0.014579499065038635
2025-06-09,aggressive,3,0.01222744770348072,0.04408280816498205
2025-06-09,equal_weight,29,,0.012770331599565875
2025-06-16,conservative,10,0.004229568876326084,0.009384734928111647
2025-06-16,aggressive,3,0.011508259922266006,0.024933035861900665
2025-06-16,equal_weight,29,,0.007116892537628697
2025-06-23,conservative,10,0.004140856210142374,-0.008411655958137872
2025-06-23,aggressive,3,0.010337380692362785,-0.033574606203921636
2025-06-23,equal_weight,29,,0.005733647242691697
2025-06-30,conservative,10,0.003935032989829779,0.01341783760823183
2025-06-30,aggressive,3,0.010420737788081169,0.02768121047353858
2025-06-30,equal_weight,29,,0.010649581706651446
2025-07-07,conservative,10,0.0038787107914686203,0.008048641997240199
2025-07-07,aggressive,3,0.010385182686150074,0.029454828062183032
2025-07-07,equal_weight,29,,0.01746220998334195
2025-07-14,conservative,10,0.003221633145585656,0.003428450218976523
2025-07-14,aggressive,2,0.011457577347755432,0.016924950026006802
2025-07-14,equal_weight,29,,0.0052750829540407955
2025-07-21,conservative,10,0.0031017805449664593,0.0011837574987171428
